iter	RMSE
0	0.5650677325
1	0.5322221703
2	0.5055950861
3	0.4806643121
4	0.4592058507
5	0.4399557322
6	0.422335041
7	0.4048222896
8	0.3911386374
9	0.3791465138
10	0.3692541939
11	0.3589847535
12	0.350298618
13	0.3410607609
14	0.334074294
15	0.327327796
16	0.3216760189
17	0.315502752
18	0.3102924741
19	0.3062096401
20	0.3009657629
21	0.2966196413
22	0.2929460264
23	0.2901896642
24	0.2869184905
25	0.2840724605
26	0.2811602698
27	0.2787990486
28	0.2754278367
29	0.271988994
30	0.2694198415
31	0.2678345549
32	0.2657958966
33	0.2641950958
34	0.2616227618
35	0.2600998571
36	0.2589243728
37	0.257302124
38	0.2554782167
39	0.2536654408
40	0.2525170252
41	0.2514645196
42	0.2497752268
43	0.2486702368
44	0.2477379508
45	0.2467662993
46	0.2450877625
47	0.244065115
48	0.2433467453
49	0.2418372843
50	0.241035958
51	0.2397580168
52	0.2388899429
53	0.2383092905
54	0.2377022871
55	0.2367638438
56	0.2352734318
57	0.2341433881
58	0.2334790895
59	0.2325258399
60	0.2318161565
61	0.2312936979
62	0.2307651413
63	0.2301418873
64	0.2296605838
65	0.2285438255
66	0.228030614
67	0.2274202408
68	0.2269282813
69	0.2265113449
70	0.2253926433
71	0.2249719309
72	0.2245636061
73	0.2241264407
74	0.2237582922
75	0.2230838128
76	0.2225783
77	0.222216242
78	0.2218875069
79	0.221529009
80	0.2210583823
81	0.2206209047
82	0.220015524
83	0.2193786107
84	0.218974934
85	0.2184893281
86	0.2181973932
87	0.2175623963
88	0.217118983
89	0.2167795403
90	0.2161142873
91	0.215217485
92	0.2149455175
93	0.2146555244
94	0.2143489394
95	0.2138109401
96	0.213503004
97	0.2129502151
98	0.2124790964
99	0.2121627433
100	0.2117407167
101	0.2114262454
102	0.2111701965
103	0.2108376193
104	0.2105967981
105	0.2103315144
106	0.2099533537
107	0.2095918303
108	0.2093447723
109	0.2088289073
110	0.2085305208
111	0.2081835668
112	0.2079333574
113	0.2076498243
114	0.2072680721
115	0.2070452292
116	0.2067010555
117	0.2064185041
118	0.2061998072
119	0.2059189861
120	0.2056921892
121	0.205388439
122	0.2051331619
123	0.2049232398
124	0.2042527072
125	0.2037849193
126	0.2033164948
127	0.2030741568
128	0.202782724
129	0.2025242405
130	0.2023284813
131	0.2020749254
132	0.2018731986
133	0.2016779381
134	0.2013423444
135	0.201160051
136	0.2008686962
137	0.2006862257
138	0.2004249699
139	0.2002267658
140	0.1996824833
141	0.1995139343
142	0.1992053838
143	0.1989429088
144	0.1987751152
145	0.1984720106
146	0.1980388193
147	0.1976897141
148	0.1974960532
149	0.1972539955
150	0.197040147
151	0.1968561081
152	0.1966042489
153	0.1963782272
154	0.1961210127
155	0.1958842647
156	0.1957108073
157	0.1953331736
158	0.1951540911
159	0.1948238301
160	0.1946134127
161	0.194279798
162	0.193936159
163	0.1936622191
164	0.1932969217
165	0.1931136493
166	0.1929331786
167	0.1926801868
168	0.1925095572
169	0.1923735048
170	0.1922222438
171	0.1919884576
172	0.1918506021
173	0.1915992332
174	0.1913970179
175	0.1912086159
176	0.1910424952
177	0.1906625529
178	0.1903165596
179	0.1901668981
180	0.1900116199
181	0.1896987305
182	0.1895635142
183	0.1893487395
184	0.1892211791
185	0.189085992
186	0.1888872572
187	0.1887077164
188	0.1884377968
189	0.1882462659
190	0.1879597848
191	0.1878334915
192	0.187714105
193	0.1874600119
194	0.1873486046
195	0.1872162625
196	0.1870209818
197	0.186895823
198	0.1867055866
199	0.1865754331
200	0.1864270863
201	0.1863198152
202	0.1861600069
203	0.1859392178
204	0.1858104034
205	0.1854876722
206	0.1853711065
207	0.1851355084
208	0.1849999585
209	0.1847704087
210	0.1846160992
211	0.1844866101
212	0.1843077863
213	0.1840934114
214	0.1839771231
215	0.1838452968
216	0.1836914192
217	0.1834659848
218	0.1833450761
219	0.1831638897
220	0.1830608367
221	0.1829461176
222	0.1827132166
223	0.1825481384
224	0.1824291012
225	0.1823285818
226	0.1821342357
227	0.1819717
228	0.181824551
229	0.181720888
230	0.1816049356
231	0.1815204797
232	0.1813666115
233	0.1812405793
234	0.1810691542
235	0.1809652008
236	0.1808729289
237	0.1807473525
238	0.1805029326
239	0.1803562282
240	0.1802394196
241	0.180134655
242	0.180033852
243	0.1798923689
244	0.1797033736
245	0.1795924727
246	0.179416989
247	0.1792382226
248	0.1790226052
249	0.1789320903
250	0.1788414041
251	0.1787219751
252	0.1786295016
253	0.178475087
254	0.1783978028
255	0.1782417572
256	0.1780185509
257	0.177906359
258	0.1778031538
259	0.1777099217
260	0.1775649919
261	0.1774041473
262	0.1773224626
263	0.1772149275
264	0.1771142774
265	0.1769906953
266	0.1769138232
267	0.1768271248
268	0.1766721146
269	0.1764748241
270	0.1763983546
271	0.1762807876
272	0.1761997254
273	0.1761113461
274	0.1760389886
275	0.1759486366
276	0.1758008403
277	0.1756864957
278	0.1755026475
279	0.1753289772
280	0.1751851965
281	0.1750941854
282	0.174953038
283	0.1748825135
284	0.1747999248
285	0.1747047802
286	0.174617778
287	0.1745327734
288	0.1743813296
289	0.1742586723
290	0.1741468464
291	0.174027119
292	0.1739588486
293	0.1738721833
294	0.1738049136
295	0.1737121295
296	0.1736359417
297	0.1735636305
298	0.1734997482
299	0.1734383155
300	0.1733539845
301	0.1732277718
302	0.1731484211
303	0.1730837872
304	0.1730039404
305	0.1728178314
306	0.1727293559
307	0.1726575255
308	0.1725710461
309	0.1724949784
310	0.1724258796
311	0.1723594055
312	0.1722842578
313	0.172163733
314	0.1720679154
315	0.1719833659
316	0.1718948305
317	0.1718331584
318	0.1716901354
319	0.171635178
320	0.1715494893
321	0.1714738689
322	0.1714147766
323	0.1713510036
324	0.1712545349
325	0.1711844461
326	0.1711194212
327	0.1709263526
328	0.1708574413
329	0.1707251441
330	0.1706730376
331	0.1705800498
332	0.1704814604
333	0.1703919581
334	0.1703280347
